S&P CNX Nifty Index,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-04-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr 08
1,ABB,Electrical Equipment,"42,38,16,750","24,179",0.78%,0.83,0.45,2.28,-3.3,0.09
2,ACC,Cement & Cement Products,"1,87,63,94,930","14,235",0.46%,0.76,0.31,1.88,-8.17,0.08
3,AMBUJACEM,Cement & Cement Products,"3,04,47,50,844","17,309",0.56%,0.34,0.14,1.51,-6.07,0.1
4,BHARTIARTL,Telecommunication - Services,"18,97,92,73,960","1,70,481",5.48%,0.79,0.35,3.08,8.71,0.08
5,BHEL,Electrical Equipment,"4,89,52,00,000","93,114",3.00%,1.09,0.52,3.16,-7.72,0.07
6,BPCL,Refineries,"3,61,54,21,240","14,802",0.48%,0.71,0.2,1.94,0.21,0.09
7,CAIRN,Oil Exploration,"17,79,19,16,600","44,151",1.42%,0.95,0.4,2.66,10.73,0.09
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","16,556",0.53%,0.5,0.21,1.83,-3.18,0.09
9,DLF,Construction,"3,40,96,65,360","1,20,216",3.87%,1.29,0.53,2.73,9.2,0.07
10,DRREDDY,Pharmaceuticals,"84,08,63,730","10,477",0.34%,0.46,0.24,1.77,5.37,0.1
11,GAIL,Gas,"8,45,65,16,000","37,217",1.20%,0.95,0.4,1.67,3.44,0.09
12,GRASIM,Cement & Cement Products,"91,67,42,280","22,046",0.71%,0.78,0.49,2.03,-6.62,0.09
13,HCLTECH,Computers - Software,"1,33,02,87,536","19,186",0.62%,0.87,0.35,3.34,13.9,0.1
14,HDFC,Finance - Housing,"2,84,03,80,550","79,531",2.56%,0.9,0.38,3.08,17.66,0.07
15,HDFCBANK,Banks,"3,54,43,29,200","54,021",1.74%,0.94,0.48,3.03,14.49,0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","17,005",0.55%,0.43,0.15,2.1,22.61,0.09
17,HINDALCO,Aluminium,"1,22,71,84,962","23,789",0.77%,1.23,0.5,2.52,17.41,0.09
18,HINDUNILVR,Diversified,"2,17,79,83,566","54,504",1.75%,0.57,0.24,2.38,9.38,0.09
19,ICICIBANK,Banks,"11,11,61,13,590","97,777",3.15%,1.12,0.55,2.77,14.32,0.08
20,IDEA,Telecommunication - Services,"26,35,36,05,390","27,816",0.89%,0.77,0.3,2.88,2.83,0.11
21,INFOSYSTCH,Computers - Software,"2,85,99,78,790","1,00,277",3.23%,0.63,0.27,2.99,21.75,0.07
22,ITC,Cigarettes,"3,76,86,10,050","82,872",2.67%,0.67,0.31,1.97,6.62,0.07
23,LT,Engineering,"58,46,54,780","87,793",2.82%,1.04,0.5,2.39,-1.08,0.07
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","16,470",0.53%,0.73,0.35,2.27,-3.85,0.09
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","21,440",0.69%,0.64,0.31,1.57,-10.27,0.07
26,NATIONALUM,Aluminium,"6,44,30,96,280","28,936",0.93%,0.8,0.18,2.9,-0.6,0.12
27,NTPC,Power,"82,45,46,44,000","1,62,230",5.22%,1.21,0.61,1.52,0.08,0.08
28,ONGC,Oil Exploration,"21,38,87,25,300","2,20,956",7.11%,1.08,0.62,1.24,5.35,0.09
29,PNB,Banks,"3,15,30,25,000","17,354",0.56%,1,0.48,1.74,7.87,0.08
30,POWERGRID,Power,"42,08,84,12,300","44,424",1.43%,1.16,0.5,1.69,7.38,0.09
31,RANBAXY,Pharmaceuticals,"1,86,61,89,350","17,906",0.58%,0.63,0.3,3.02,9.42,0.08
32,RCOM,Telecommunication - Services,"10,32,01,34,405","1,19,270",3.84%,1.18,0.62,3.04,13.36,0.08
33,REL,Power,"2,36,53,02,620","33,837",1.09%,1.7,0.55,2.93,14.37,0.08
34,RELIANCE,Refineries,"14,53,64,86,010","3,80,056",12.23%,1.13,0.77,1.89,15.39,0.06
35,RPL,Refineries,"45,00,00,00,000","90,585",2.91%,1.36,0.49,2.14,28.87,0.07
36,SAIL,Steel & Steel Products,"41,30,40,05,450","76,392",2.46%,1.47,0.62,3.21,-0.19,0.08
37,SATYAMCOMP,Computers - Software,"1,34,16,02,108","32,376",1.04%,0.64,0.24,2.98,21.77,0.08
38,SBIN,Banks,"6,31,47,03,760","1,12,064",3.60%,0.98,0.52,2.09,10.9,0.07
39,SIEMENS,Electrical Equipment,"67,43,20,400","19,281",0.62%,0.87,0.37,2.92,-7.23,0.09
40,STER,Metals,"1,41,69,71,700","61,128",1.97%,1.26,0.53,2.29,20.76,0.09
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","29,986",0.96%,0.39,0.12,2.04,17.77,0.1
42,SUZLON,Electrical Equipment,"2,99,38,68,800","42,992",1.38%,1.07,0.32,3.03,8.87,0.07
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","14,209",0.46%,1.02,0.34,3.19,-2.81,0.1
44,TATAMOTORS,Automobile - 4 wheelers,"3,85,50,39,540","25,617",0.82%,0.72,0.42,1.56,6.71,0.08
45,TATAPOWER,Power,"2,20,70,01,620","30,809",0.99%,1.23,0.38,2.53,19.16,0.09
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","59,795",1.92%,1.13,0.5,2.96,17.84,0.07
47,TCS,Computers - Software,"97,86,10,498","90,130",2.90%,0.7,0.35,3.59,13.64,0.08
48,UNITECH,Construction,"3,24,67,50,000","50,292",1.62%,1.54,0.5,2.83,12.17,0.08
49,WIPRO,Computers - Software,"2,92,30,46,360","71,432",2.30%,0.7,0.31,3.48,13.11,0.1
50,ZEEL,Media & Entertainment,"43,35,66,765","9,267",0.30%,0.73,0.29,2,-13.13,0.08
,,,,,,,,,,
,,,,"31,08,589",100.00%,,,,,0.08
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2007 to 30-Apr-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2008 to 30-Apr-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 30-Apr-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
