S&P CNX Nifty Index,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for August 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 08
1,ABB,Electrical Equipment,"42,38,16,750","18,562",0.70%,0.79,0.45,1.87,13.57,0.08
2,ACC,Cement & Cement Products,"1,87,65,14,780","10,553",0.40%,0.73,0.35,2.57,-3.61,0.08
3,AMBUJACEM,Cement & Cement Products,"3,04,51,59,096","12,226",0.46%,0.51,0.26,2.48,-1.41,0.11
4,BHARTIARTL,Telecommunication - Services,"18,98,05,92,040","1,58,962",6.02%,0.78,0.36,2.03,4.86,0.07
5,BHEL,Electrical Equipment,"4,89,52,00,000","83,603",3.17%,1.1,0.53,2.82,1.54,0.07
6,BPCL,Refineries,"3,61,54,21,240","10,946",0.41%,0.82,0.24,2.87,-7.67,0.09
7,CAIRN,Oil Exploration,"18,94,42,97,380","47,077",1.78%,0.74,0.23,2.17,2.77,0.07
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","18,659",0.71%,0.47,0.23,1.7,9.66,0.07
9,DLF,Construction,"3,40,96,65,360","84,065",3.18%,1.45,0.59,3.7,-3.6,0.08
10,DRREDDY,Pharmaceuticals,"84,15,66,765","9,748",0.37%,0.43,0.18,2.2,1.76,0.07
11,GAIL,Gas,"8,45,65,16,000","33,429",1.27%,0.95,0.45,2.15,5.24,0.09
12,GRASIM,Cement & Cement Products,"91,67,42,280","17,767",0.67%,0.71,0.46,2.52,7.24,0.08
13,HCLTECH,Computers - Software,"1,33,26,80,544","15,536",0.59%,0.82,0.31,3.5,16.37,0.11
14,HDFC,Finance - Housing,"2,84,21,85,990","66,607",2.52%,1.11,0.48,3.28,2.9,0.07
15,HDFCBANK,Banks,"4,24,91,72,760","54,249",2.06%,1.1,0.55,3.33,16.26,0.06
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","16,548",0.63%,0.45,0.18,1.61,3.09,0.09
17,HINDALCO,Aluminium,"1,75,23,29,383","21,449",0.81%,1.14,0.49,2.5,-4.38,0.08
18,HINDUNILVR,Diversified,"2,17,87,65,017","53,467",2.03%,0.52,0.24,1.8,2.4,0.07
19,ICICIBANK,Banks,"11,12,60,34,800","74,756",2.83%,1.31,0.61,3.81,5.43,0.07
20,IDEA,Telecommunication - Services,"26,35,36,05,390","21,715",0.82%,0.79,0.32,1.85,-6.42,0.09
21,INFOSYSTCH,Computers - Software,"2,86,17,15,880","1,00,109",3.79%,0.65,0.29,1.93,10.46,0.06
22,ITC,Cigarettes,"3,76,89,96,710","71,121",2.69%,0.7,0.36,1.3,1.02,0.08
23,LT,Engineering,"58,50,29,668","75,871",2.87%,1.09,0.56,2.22,-0.45,0.05
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","14,220",0.54%,0.73,0.37,2.16,10.69,0.11
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","18,768",0.71%,0.71,0.31,3.36,12.85,0.07
26,NATIONALUM,Aluminium,"6,44,30,96,280","24,935",0.94%,0.78,0.18,2.76,-8.87,0.1
27,NTPC,Power,"82,45,46,44,000","1,44,213",5.46%,1.12,0.59,2.15,2.67,0.09
28,ONGC,Oil Exploration,"21,38,87,25,300","2,18,860",8.29%,0.99,0.55,1.93,2.71,0.08
29,PNB,Banks,"3,15,30,25,000","15,157",0.57%,1.08,0.52,3.17,6.41,0.08
30,POWERGRID,Power,"42,08,84,12,300","39,184",1.48%,1.14,0.53,1.99,-1.74,0.1
31,RANBAXY,Pharmaceuticals,"1,87,03,48,940","19,407",0.74%,0.53,0.18,1.46,4.18,0.06
32,RCOM,Telecommunication - Services,"10,32,01,34,405","81,570",3.09%,1.19,0.56,2.48,-21.06,0.06
33,RELINFRA,Power,"2,30,87,02,620","22,897",0.87%,1.86,0.64,3.76,2.76,0.07
34,RELIANCE,Refineries,"14,53,71,34,490","3,10,542",11.77%,1.1,0.74,1.96,-3.23,0.06
35,RPL,Refineries,"45,00,00,00,000","70,740",2.68%,1.26,0.49,1.85,-4.58,0.07
36,SAIL,Steel & Steel Products,"41,30,40,05,450","64,476",2.44%,1.38,0.61,2.64,10.98,0.09
37,SATYAMCOMP,Computers - Software,"1,34,63,14,234","28,252",1.07%,0.62,0.24,1.97,10.09,0.06
38,SBIN,Banks,"6,34,88,02,220","89,128",3.38%,1.07,0.58,3.51,-0.95,0.07
39,SIEMENS,Electrical Equipment,"67,43,20,400","18,478",0.70%,0.97,0.44,1.91,0.07,0.09
40,STER,Metals,"1,41,69,71,700","44,472",1.68%,1.03,0.41,3.1,-1.02,0.07
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","30,494",1.16%,0.37,0.11,1.46,4.34,0.08
