S&P CNX Nifty Index,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 29-02-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb 08
1,ABB,Electrical Equipment,"42,38,16,750","24,482",0.81%,0.83,0.45,2.8,3.16,0.14
2,ACC,Cement & Cement Products,"1,87,63,27,430","14,935",0.50%,0.84,0.35,2.56,3.63,0.1
3,BAJAJAUTO,Automobiles - 2 and 3 wheelers,"1,01,18,35,100","23,090",0.77%,0.62,0.25,3.13,-3.27,0.12
4,BHARTIARTL,Telecommunication - Services,"18,97,89,49,210","1,56,814",5.20%,0.87,0.44,1.98,-3.8,0.1
5,BHEL,Electrical Equipment,"4,89,52,00,000","1,11,946",3.71%,1.13,0.58,4.06,11,0.1
6,BPCL,Refineries,"3,61,54,21,240","16,804",0.56%,0.69,0.18,4.33,28.56,0.17
7,CIPLA,Pharmaceuticals,"1,55,45,82,714","16,098",0.53%,0.59,0.24,2.37,9.43,0.11
8,NTPC,Power,"82,45,46,44,000","1,66,558",5.52%,1.14,0.53,3.22,3.03,0.11
9,DRREDDY,Pharmaceuticals,"84,06,78,260","9,814",0.33%,0.47,0.23,2.36,10.29,0.13
10,GAIL,Gas,"8,45,65,16,000","35,805",1.19%,0.97,0.37,3.3,3.94,0.12
11,GLAXO,Pharmaceuticals,"84,70,30,170","9,412",0.31%,0.44,0.16,2.09,35.85,0.18
12,GRASIM,Cement & Cement Products,"91,67,42,100","26,415",0.88%,0.78,0.48,2.57,-2.38,0.14
13,AMBUJACEM,Cement & Cement Products,"3,04,47,50,844","18,413",0.61%,0.4,0.15,1.99,0.17,0.16
14,HCLTECH,Computers - Software,"1,32,93,17,744","18,454",0.61%,0.81,0.34,4.3,14.9,0.16
15,HDFC,Finance - Housing,"2,83,46,46,110","79,267",2.63%,0.79,0.36,3.14,-1.51,0.1
16,HDFCBANK,Banks,"3,54,34,05,200","51,619",1.71%,0.93,0.48,2.41,-7.19,0.11
17,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","15,209",0.50%,0.49,0.18,2.91,9.97,0.12
18,HINDALCO,Aluminium,"1,22,71,84,962","24,863",0.82%,1.12,0.48,4.26,23.57,0.12
19,HINDUNILVR,Diversified,"2,17,77,29,553","49,543",1.64%,0.65,0.28,3.29,8.98,0.13
20,CAIRN,Oil Exploration,"17,78,39,94,200","40,654",1.35%,0.87,0.4,3.02,17.5,0.12
21,ICICIBANK,Banks,"11,09,96,52,440","1,20,820",4.01%,1.02,0.52,2.82,-5.1,0.1
22,INFOSYSTCH,Computers - Software,"2,85,90,31,160","88,527",2.93%,0.58,0.27,2.64,3.28,0.08
23,UNITECH,Construction,"3,24,67,50,000","58,425",1.94%,1.45,0.42,5.98,-6.17,0.12
24,ITC,Cigarettes,"3,76,72,79,690","76,382",2.53%,0.7,0.31,2.65,3.68,0.11
25,RPL,Refineries,"45,00,00,00,000","79,110",2.62%,1.27,0.44,4.44,10.71,0.11
26,LT,Engineering,"58,43,42,082","1,02,881",3.41%,1.04,0.55,2.85,-3.44,0.09
27,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","25,083",0.83%,0.78,0.4,2.53,2.12,0.1
28,M&M,Automobile - 4 wheelers,"2,45,74,18,130","16,999",0.56%,0.87,0.44,3.15,4.05,0.14
29,IDEA,Telecommunication - Services,"26,35,36,05,390","28,976",0.96%,0.81,0.3,3.19,-10.94,0.16
30,NATIONALUM,Aluminium,"6,44,30,96,280","29,906",0.99%,0.74,0.16,5.15,5.86,0.2
31,ONGC,Oil Exploration,"21,38,87,25,300","2,17,555",7.21%,1.12,0.62,2.9,2.79,0.12
32,STER,Metals,"1,41,69,71,700","59,169",1.96%,1.28,0.52,3.59,11.94,0.13
33,PNB,Banks,"3,15,30,25,000","19,024",0.63%,1.05,0.49,3.31,-6.65,0.12
34,RANBAXY,Pharmaceuticals,"1,86,57,68,295","16,633",0.55%,0.66,0.32,2.35,28.05,0.11
35,REL,Power,"2,36,53,02,620","37,121",1.23%,1.55,0.5,5.42,-20.66,0.11
36,RELIANCE,Refineries,"14,53,64,86,010","3,58,099",11.87%,1.12,0.77,3.04,-0.62,0.09
37,SAIL,Steel & Steel Products,"41,30,40,05,450","1,05,098",3.48%,1.52,0.66,4.11,18.46,0.12
38,SATYAMCOMP,Computers - Software,"1,34,01,81,232","29,276",0.97%,0.64,0.23,3.54,11.26,0.1
39,SBIN,Banks,"6,31,55,86,540","1,33,363",4.42%,1,0.52,2.87,-2.57,0.1
40,SIEMENS,Electrical Equipment,"67,43,20,400","27,548",0.91%,0.85,0.37,2.6,-2.28,0.11
41,SUNPHARMA,Pharmaceuticals,"1,00,73,87,365","24,721",0.82%,0.42,0.13,2.88,8.32,0.16
42,SUZLON,Electrical Equipment,"2,99,38,68,800","42,124",1.40%,1.06,0.34,3.59,-8.9,0.11
43,TATAPOWER,Power,"2,18,90,03,580","30,644",1.02%,1.2,0.37,3.72,9.54,0.13
44,RCOM,Telecommunication - Services,"10,32,01,34,405","1,18,620",3.93%,1.2,0.66,4.48,-4.05,0.1
45,TATAMOTORS,Automobile - 4 wheelers,"3,85,50,39,540","26,999",0.89%,0.82,0.48,2,0.13,0.11
46,TCS,Computers - Software,"97,86,10,498","85,863",2.85%,0.69,0.38,2.53,0.42,0.11
47,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","58,589",1.94%,1.11,0.52,3.13,8.55,0.09
48,TATACOMM,Telecommunication - Services,"2,85,00,00,000","14,596",0.48%,0.99,0.32,4.64,-1.48,0.15
49,WIPRO,Computers - Software,"2,92,18,95,058","63,851",2.12%,0.67,0.32,2.91,3.38,0.16
50,ZEEL,Media & Entertainment,"43,35,66,765","10,499",0.35%,0.82,0.31,2.33,-14.89,0.13
,,,,"30,16,694",100.00%,,,,,0.11
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2007 to 29-Feb-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2008 to 29-Feb-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 29-Feb-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
