Annexure II- S&P CNX Nifty Index : February 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2010
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"42,38,16,750","8,064",0.56%,0.78,0.37,0.97,-2.02,0.09
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,87,74,02,020","9,322",0.65%,0.79,0.4,1.65,5.9,0.08
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,04,66,12,130","8,727",0.61%,0.69,0.29,1.77,5.06,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,03,63,27,640","27,696",1.94%,1.27,0.58,1.87,9.63,0.08
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"37,96,95,19,800","34,113",2.39%,0.93,0.36,2.73,-8.83,0.07
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,89,52,00,000","37,121",2.60%,0.92,0.56,1.22,-2.32,0.06
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,61,54,21,240","7,287",0.51%,0.44,0.12,2.18,4.27,0.1
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,96,67,86,470","11,445",0.80%,0.94,0.49,1.66,0.13,0.08
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,60,58,42,714","16,043",1.12%,0.48,0.19,1.99,-0.33,0.1
10,DLF,DLF Ltd.,CONSTRUCTION,"3,39,46,98,660","10,816",0.76%,1.61,0.55,2.33,-10.55,0.07
11,GAIL,GAIL (India) Ltd.,GAS,"12,68,47,74,000","17,915",1.25%,0.68,0.32,1.52,1.21,0.08
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"91,68,20,010","18,417",1.29%,0.81,0.42,1.77,3.74,0.07
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,34,70,11,864","7,777",0.54%,1.09,0.37,1.38,5.85,0.1
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,86,14,89,960","63,193",4.42%,1.18,0.58,1.59,4.88,0.07
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,56,11,49,940","59,201",4.14%,0.82,0.58,1.33,4.52,0.07
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"39,93,75,000","15,988",1.12%,0.74,0.34,1.66,14.03,0.07
