Annexure II- S&P CNX Nifty Index : January 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for January 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2013
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,87,74,52,660.00","12,346.66",0.64,0.81,0.22,1.04,-7.62,0.05
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,08,28,95,372.00","15,504.35",0.81,0.93,0.21,1.59,1.49,0.05
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,"95,91,97,790.00","20,382.58",1.06,0.52,0.11,0.99,1.55,0.05
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,27,15,56,330.00","40,576.61",2.12,1.69,0.55,1.37,10.95,0.04
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"2,89,36,70,200.00","27,204.30",1.42,0.69,0.18,1.4,-4.88,0.05
6,BANKBARODA,Bank of Baroda,BANKS,"4,11,12,33,830.00","14,601.34",0.76,1.47,0.44,1.92,0.15,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,98,76,50,480.00","40,629.89",2.12,0.84,0.15,1.93,7.1,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,89,52,00,000.00","17,997.31",0.94,1.66,0.41,1.6,-0.2,0.05
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"7,23,08,42,480.00","10,607.12",0.55,0.49,0.07,2.66,15.18,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"19,09,91,76,730.00","19,081.44",1,0.69,0.12,1.27,1.32,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,60,58,42,714.00","20,655.14",1.08,0.48,0.09,1.33,-1.74,0.05
12,COALINDIA,Coal India Ltd.,MINING,"63,16,36,44,000.00","22,318.87",1.17,0.55,0.14,0.91,-0.41,0.04
13,DLF,DLF Ltd.,CONSTRUCTION,"3,39,72,39,492.00","10,098.34",0.53,1.8,0.44,2.25,20.38,0.05
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"84,91,69,975.00","24,220.06",1.26,0.16,0.02,0.95,4.71,0.05
15,GAIL,GAIL (India) Ltd.,GAS,"12,68,47,74,000.00","15,373.29",0.8,0.82,0.2,1.93,-4.06,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"91,75,50,170.00","19,093.28",1,0.82,0.31,1,-5.16,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,38,91,23,640.00","18,074.38",0.94,0.68,0.16,1.78,11.2,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"3,08,19,68,770.00","1,21,206.13",6.33,0.88,0.36,1.22,-5.1,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,73,61,30,930.00","1,17,252.73",6.12,0.96,0.49,1,-5.24,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"39,93,75,000.00","17,387.95",0.91,0.76,0.18,1.02,-4.13,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,91,45,79,068.00","14,946.10",0.78,1.54,0.4,1.78,-10.96,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,16,19,61,418.00","48,650.11",2.54,0.36,0.06,1.69,-9.7,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,53,04,58,940.00","1,37,345.06",7.17,1.66,0.71,1.17,4.65,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,"15,14,37,34,970.00","20,971.19",1.09,1.85,0.51,1.73,-0.93,0.05
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,"2,87,11,80,830.00","1,34,495.88",7.02,0.78,0.14,3.52,20.3,0.04
26,ITC,I T C Ltd.,CIGARETTES,"7,87,82,78,630.00","1,67,929.20",8.77,0.46,0.09,1.28,7.27,0.04
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"93,48,33,818.00","16,096.67",0.84,1.67,0.38,1.82,-6.17,0.06
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,"4,30,97,57,498.00","9,983.80",0.52,2.22,0.47,2.4,-10.27,0.06
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,72,09,65,525.00","25,459.69",1.33,1.05,0.35,1.06,4.66,0.05
30,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,22,98,47,806.00","83,319.21",4.35,1.56,0.56,1.23,-4.06,0.05
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"89,48,28,400.00","14,360.07",0.75,0.23,0.02,0.87,-1.56,0.05
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"3,06,99,03,780.00","40,755.51",2.13,0.83,0.26,1.17,-4.55,0.05
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,44,45,50,300.00","20,923.24",1.09,0.71,0.13,1.76,6.14,0.04
34,NTPC,NTPC Ltd.,POWER,"82,45,46,44,000.00","20,079.02",1.05,0.69,0.21,1.37,0.42,0.05
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"42,77,74,50,600.00","60,107.22",3.14,0.77,0.19,2.2,26.75,0.05
36,PNB,Punjab National Bank,BANKS,"3,39,17,86,830.00","12,136.51",0.63,1.51,0.41,2.46,4.68,0.06
37,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"46,29,72,53,530.00","15,601.02",0.81,0.63,0.22,0.96,-3.97,0.05
38,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,11,45,69,015.00","6,884.39",0.36,0.66,0.13,1.22,-11,0.06
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,28,81,52,290.00","1,45,837.95",7.61,1,0.38,1.26,5.61,0.05
40,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,62,99,00,000.00","6,977.97",0.36,2.04,0.5,2.25,-0.97,0.06
41,SBIN,State Bank of India,BANKS,"6,71,04,52,740.00","62,849.88",3.28,1.56,0.52,1.18,2.2,0.04
42,SESAGOA,Sesa Goa Ltd.,MINING,"86,91,01,423.00","7,275.22",0.38,1.68,0.44,1.48,-4.55,0.07
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"70,40,66,266.00","6,045.97",0.32,0.95,0.32,1.11,-1.69,0.05
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,03,55,81,955.00","27,000.68",1.41,0.44,0.09,1.15,-2.48,0.06
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"5,41,56,93,652.00","52,664.02",2.75,1.5,0.33,2.2,-4.69,0.05
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,37,30,72,360.00","16,373.49",0.85,1.25,0.33,1.36,-8.38,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"9,71,21,45,450.00","26,994.68",1.41,1.49,0.48,1.32,-5.51,0.05
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,95,72,20,996.00","68,505.21",3.58,0.56,0.1,1.24,7.03,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,"2,74,16,33,780.00","18,875.12",0.99,0.47,0.09,1.43,-4.22,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"4,92,49,67,314.00","21,374.97",1.12,0.52,0.09,2.28,4.32,0.05
,,,,,"19,15,430.83",100,,,,,0.05
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2012 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jan-2013 to 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
