S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4332.95 points on July 31, 2008 representing a increase of 292.40 pts points (7.24%), as compared to 4040.55 points on June 30, 2008 . During the month of July 2008, S&P CNX Nifty touched a high of 4539.45 points on July 24, 2008 before closing at 4332.95 points on July 31, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2434104 crores on June 30, 2008 to Rs.2617902 crores on July 31, 2008, i.e. a increase of Rs.183798 crores (7.55%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-07-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 08
1,ABB,Electrical Equipment,"42,38,16,750","16,344",0.62%,0.82,0.48,3.84,-4.02,0.12
2,ACC,Cement & Cement Products,"1,87,65,11,140","10,948",0.42%,0.73,0.36,3.43,11.02,0.1
3,AMBUJACEM,Cement & Cement Products,"3,04,50,95,596","12,401",0.47%,0.48,0.25,2.52,7.24,0.15
4,BHARTIARTL,Telecommunication - Services,"18,98,02,08,040","1,51,595",5.79%,0.79,0.37,3.17,10.74,0.09
5,BHEL,Electrical Equipment,"4,89,52,00,000","82,337",3.15%,1.09,0.53,4.5,21.93,0.08
6,BPCL,Refineries,"3,61,54,21,240","11,855",0.45%,0.79,0.24,4.22,46.51,0.13
7,CAIRN,Oil Exploration,"18,94,42,97,380","45,807",1.75%,0.79,0.27,2.72,-11.98,0.09
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","17,015",0.65%,0.48,0.23,2.35,3.72,0.08
9,DLF,Construction,"3,40,96,65,360","87,202",3.33%,1.4,0.59,6.09,29.04,0.09
10,DRREDDY,Pharmaceuticals,"84,10,20,430","9,573",0.37%,0.42,0.18,2.49,-15.03,0.09
11,GAIL,Gas,"8,45,65,16,000","31,763",1.21%,0.96,0.45,3.36,12.74,0.13
12,GRASIM,Cement & Cement Products,"91,67,42,280","16,567",0.63%,0.71,0.49,2.25,-2.31,0.11
13,HCLTECH,Computers - Software,"1,33,26,80,544","13,350",0.51%,0.82,0.32,3.42,-20.67,0.13
14,HDFC,Finance - Housing,"2,84,21,02,400","64,725",2.47%,1.06,0.48,5.86,15.9,0.1
15,HDFCBANK,Banks,"4,24,83,31,760","46,653",1.78%,1.07,0.55,5.35,9.01,0.1
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","16,052",0.61%,0.46,0.18,2.91,16.11,0.12
17,HINDALCO,Aluminium,"1,22,71,85,338","17,346",0.66%,1.17,0.5,3.34,-0.67,0.12
18,HINDUNILVR,Diversified,"2,17,83,40,996","52,204",1.99%,0.53,0.25,2.1,15.69,0.09
19,ICICIBANK,Banks,"11,12,51,52,400","70,901",2.71%,1.28,0.62,6.08,1.13,0.09
20,IDEA,Telecommunication - Services,"26,35,36,05,390","23,204",0.89%,0.81,0.35,3.8,-5.73,0.11
21,INFOSYSTCH,Computers - Software,"2,86,17,15,880","90,628",3.46%,0.66,0.3,3.36,-8.83,0.07
22,ITC,Cigarettes,"3,76,86,10,050","70,398",2.69%,0.71,0.36,3.41,-0.53,0.1
23,LT,Engineering,"58,48,11,524","76,188",2.91%,1.08,0.56,4.41,19.26,0.07
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","12,846",0.49%,0.74,0.38,3.18,7,0.14
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","16,631",0.64%,0.7,0.32,4.2,-6.63,0.1
26,NATIONALUM,Aluminium,"6,44,30,96,280","27,361",1.05%,0.75,0.17,4.39,20.91,0.15
27,NTPC,Power,"82,45,46,44,000","1,40,461",5.37%,1.11,0.58,2.99,12.15,0.1
28,ONGC,Oil Exploration,"21,38,87,25,300","2,13,085",8.14%,1.01,0.56,3.01,22.23,0.1
29,PNB,Banks,"3,15,30,25,000","14,244",0.54%,1.03,0.52,4.3,21.03,0.12
30,POWERGRID,Power,"42,08,84,12,300","39,879",1.52%,1.15,0.53,4,20.7,0.12
31,RANBAXY,Pharmaceuticals,"1,87,03,48,940","18,629",0.71%,0.57,0.2,5.66,-4.79,0.08
32,RCOM,Telecommunication - Services,"10,32,01,34,405","1,03,336",3.95%,1.22,0.62,5.2,13.06,0.1
33,RELINFRA,Power,"2,31,97,02,620","22,387",0.86%,1.82,0.64,6.03,23.17,0.09
34,RELIANCE,Refineries,"14,53,64,86,010","3,20,893",12.26%,1.1,0.74,3.51,5.36,0.07
35,RPL,Refineries,"45,00,00,00,000","74,138",2.83%,1.26,0.5,3.22,-3.4,0.08
36,SAIL,Steel & Steel Products,"41,30,40,05,450","58,094",2.22%,1.38,0.62,4.5,0.82,0.12
37,SATYAMCOMP,Computers - Software,"1,34,54,82,214","25,648",0.98%,0.63,0.24,4.03,-12.73,0.08
38,SBIN,Banks,"6,34,88,02,220","89,978",3.44%,1.04,0.58,4.45,27.5,0.1
39,SIEMENS,Electrical Equipment,"67,43,20,400","18,465",0.71%,0.99,0.45,5.16,41.82,0.13
40,STER,Metals,"1,41,69,71,700","44,929",1.72%,1.11,0.46,3.85,-9.12,0.1
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","29,224",1.12%,0.36,0.11,2.16,0.72,0.09
42,SUZLON,Electrical Equipment,"2,99,65,00,800","33,426",1.28%,1.11,0.41,4.26,3.31,0.11
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","12,844",0.49%,1.08,0.38,4.51,20.91,0.14
44,TATAMOTORS,Automobile - 4 wheelers,"3,85,61,87,230","15,560",0.59%,0.78,0.46,3.75,-5.29,0.11
45,TATAPOWER,Power,"2,20,85,41,210","25,568",0.98%,1.26,0.42,5.17,9.53,0.1
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","47,873",1.83%,1.1,0.5,4.74,-10.12,0.09
47,TCS,Computers - Software,"97,86,10,498","81,592",3.12%,0.75,0.38,3.75,-2.85,0.1
48,UNITECH,Construction,"3,24,67,50,000","26,607",1.02%,1.56,0.58,5.3,-4.38,0.11
49,WIPRO,Computers - Software,"2,92,41,26,844","60,734",2.32%,0.75,0.35,3.44,-5.58,0.13
50,ZEEL,Media & Entertainment,"43,40,07,111","8,415",0.32%,0.66,0.28,3.34,-3.05,0.12
,,,,,,,,,,
,,,,"26,17,902",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2007 to 31-July-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2008 to 31-July-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 31-July-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
