S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4040.55 points on June 30, 2008 representing a decrease of -829.55 pts points (-17.03%), as compared to 4870.1 points on May 30, 2008. During the month of June 2008, S&P CNX Nifty touched a high of 4908.8 points on June 02, 2008 before closing at 4040.55 points on June 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.2933759 crores on May 30, 2008 to Rs.2434104 crores on June 30, 2008, i.e. a decrease of Rs.499655 crores (-17.03%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-06-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 08
1,ABB,Electrical Equipment,"42,38,16,750","17,029",0.70%,0.83,0.48,2.39,-21.49,0.1
2,ACC,Cement & Cement Products,"1,87,64,23,430","9,861",0.41%,0.77,0.35,2.88,-20.54,0.08
3,AMBUJACEM,Cement & Cement Products,"3,04,50,45,846","11,564",0.48%,0.44,0.19,3.98,-20.14,0.13
4,BHARTIARTL,Telecommunication - Services,"18,98,02,08,040","1,36,895",5.62%,0.79,0.35,2.53,-17.66,0.09
5,BHEL,Electrical Equipment,"4,89,52,00,000","67,527",2.77%,1.07,0.5,3.13,-17.05,0.08
6,BPCL,Refineries,"3,61,54,21,240","8,091",0.33%,0.74,0.21,3.85,-37.29,0.12
7,CAIRN,Oil Exploration,"18,94,42,97,380","52,040",2.14%,0.9,0.31,3.56,-4.1,0.09
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","16,405",0.67%,0.49,0.22,2.06,-0.5,0.1
9,DLF,Construction,"3,40,96,65,360","67,580",2.78%,1.31,0.55,3.71,-32.45,0.09
10,DRREDDY,Pharmaceuticals,"84,09,32,410","11,265",0.46%,0.45,0.2,2.26,-6.21,0.08
11,GAIL,Gas,"8,45,65,16,000","28,173",1.16%,0.98,0.45,3.16,-16.8,0.11
12,GRASIM,Cement & Cement Products,"91,67,42,280","16,960",0.70%,0.74,0.49,1.89,-16.73,0.09
13,HCLTECH,Computers - Software,"1,33,20,24,680","16,820",0.69%,0.89,0.36,3.39,-19.72,0.13
14,HDFC,Finance - Housing,"2,84,21,02,400","55,843",2.29%,0.92,0.4,3.54,-23.63,0.08
15,HDFCBANK,Banks,"3,54,73,28,200","35,736",1.47%,0.97,0.5,3.17,-26.4,0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","13,824",0.57%,0.43,0.15,3.1,-7.22,0.12
17,HINDALCO,Aluminium,"1,22,71,85,338","17,463",0.72%,1.25,0.52,2.91,-26,0.11
18,HINDUNILVR,Diversified,"2,17,82,75,926","45,123",1.85%,0.57,0.25,1.93,-12.63,0.09
19,ICICIBANK,Banks,"11,12,36,35,220","70,101",2.88%,1.14,0.56,2.75,-20.09,0.09
20,IDEA,Telecommunication - Services,"26,35,36,05,390","24,614",1.01%,0.77,0.3,3.19,-14.23,0.11
21,INFOSYSTCH,Computers - Software,"2,86,08,03,295","99,373",4.08%,0.65,0.28,2.55,-11.51,0.06
22,ITC,Cigarettes,"3,76,86,10,050","70,774",2.91%,0.68,0.32,2.25,-13.75,0.09
