S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4734.5 points on March 31, 2008 representing a fall of 489 pts points (9.36%), as compared to 5223.50 points on February 29, 2008. During the month of March 2008, S&P CNX Nifty touched a high of 5222.80 points on March 03, 2008 before closing at 4734.5 points on March 31, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3016694 crores on February 29, 2008 to Rs.2848773 crores on March 31, 2008, i.e. an decrease of Rs.167921 crores (5.56%).",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-03-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 08
1,ABB,Electrical Equipment,"42,38,16,750","25,004",0.88%,0.83,0.48,3.41,2.13,0.11
2,ACC,Cement & Cement Products,"1,87,63,48,930","15,501",0.54%,0.79,0.34,2.92,3.79,0.07
3,AMBUJACEM,Cement & Cement Products,"3,04,47,50,844","18,428",0.65%,0.37,0.18,1.79,0.08,0.12
4,BHARTIARTL,Telecommunication - Services,"18,97,90,74,460","1,56,815",5.50%,0.78,0.37,3.31,0,0.09
5,BHEL,Electrical Equipment,"4,89,52,00,000","1,00,907",3.54%,1.1,0.58,4.11,-9.86,0.09
6,BPCL,Refineries,"3,61,54,21,240","14,771",0.52%,0.71,0.2,3.85,-12.1,0.11
7,CAIRN,Oil Exploration,"17,79,19,16,600","39,872",1.40%,0.95,0.41,5.58,-1.97,0.11
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","17,100",0.60%,0.53,0.21,2.63,6.23,0.09
9,DLF,Construction,"3,40,96,65,360","1,10,090",3.86%,1.29,0.55,7.16,-17.24,0.09
10,DRREDDY,Pharmaceuticals,"84,08,63,730","9,943",0.35%,0.44,0.23,2.25,1.29,0.11
11,GAIL,Gas,"8,45,65,16,000","35,978",1.26%,0.94,0.38,3.13,0.48,0.09
12,GRASIM,Cement & Cement Products,"91,67,42,100","23,609",0.83%,0.8,0.53,2.86,-10.62,0.1
13,HCLTECH,Computers - Software,"1,33,02,87,536","16,845",0.59%,0.87,0.37,4.62,-8.79,0.13
14,HDFC,Finance - Housing,"2,83,89,43,880","67,560",2.37%,0.9,0.4,5.31,-14.9,0.08
15,HDFCBANK,Banks,"3,54,43,29,200","47,184",1.66%,0.93,0.5,3.74,-8.62,0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","13,869",0.49%,0.45,0.18,2.33,-8.81,0.12
17,HINDALCO,Aluminium,"1,22,71,84,962","20,261",0.71%,1.19,0.5,5.29,-18.51,0.11
18,HINDUNILVR,Diversified,"2,17,79,83,566","49,832",1.75%,0.58,0.25,2.85,0.57,0.09
