S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4870.1 points on May 30, 2008 representing a decrease of -295.80 pts points (-5.73%), as compared to 5165.9 points on April 30, 2008. During the month of May 2008, S&P CNX Nifty touched a high of 5298.85 points on May 02, 2008 before closing at 4870.1 points on May 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3108589 crores on April 30, 2008 to Rs.2933759 crores on May 30, 2008, i.e. a decrease of Rs.174830 crores (-5.62%).",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-05-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 08
1,ABB,Electrical Equipment,"42,38,16,750","21,691",0.74%,0.83,0.45,1.44,-10.29,0.09
2,ACC,Cement & Cement Products,"1,87,63,94,930","12,409",0.42%,0.77,0.32,1.69,-12.83,0.06
3,AMBUJACEM,Cement & Cement Products,"3,04,49,72,970","14,479",0.49%,0.37,0.15,2.75,-16.36,0.09
4,BHARTIARTL,Telecommunication - Services,"18,97,92,73,960","1,66,249",5.67%,0.77,0.34,2.37,-2.48,0.06
5,BHEL,Electrical Equipment,"4,89,52,00,000","81,410",2.77%,1.09,0.52,2.34,-12.57,0.06
6,BPCL,Refineries,"3,61,54,21,240","12,903",0.44%,0.7,0.19,2.64,-12.82,0.1
7,CAIRN,Oil Exploration,"18,94,42,97,380","54,266",1.85%,0.95,0.35,4.41,15.43,0.08
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","16,486",0.56%,0.49,0.21,1.68,-0.42,0.08
9,DLF,Construction,"3,40,96,65,360","1,00,048",3.41%,1.29,0.55,1.93,-16.78,0.07
10,DRREDDY,Pharmaceuticals,"84,09,18,060","12,011",0.41%,0.46,0.21,2.92,14.63,0.08
11,GAIL,Gas,"8,45,65,16,000","33,860",1.15%,0.96,0.41,1.79,-9.02,0.08
12,GRASIM,Cement & Cement Products,"91,67,42,280","20,368",0.69%,0.77,0.49,1.44,-7.61,0.06
13,HCLTECH,Computers - Software,"1,33,06,82,840","20,932",0.71%,0.85,0.35,2.01,9.07,0.1
14,HDFC,Finance - Housing,"2,84,15,09,430","73,108",2.49%,0.91,0.4,2.52,-8.11,0.07
15,HDFCBANK,Banks,"3,54,50,84,200","48,522",1.65%,0.94,0.49,1.96,-10.2,0.07
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","14,900",0.51%,0.42,0.15,1.59,-12.38,0.08
17,HINDALCO,Aluminium,"1,22,71,85,338","23,599",0.80%,1.25,0.5,3.28,-0.8,0.08
18,HINDUNILVR,Diversified,"2,17,81,92,346","51,645",1.76%,0.56,0.24,1.37,-5.25,0.07
19,ICICIBANK,Banks,"11,12,08,66,690","87,699",2.99%,1.14,0.55,2.58,-10.35,0.06
20,IDEA,Telecommunication - Services,"26,35,36,05,390","28,699",0.98%,0.78,0.3,2.1,3.17,0.07
21,INFOSYSTCH,Computers - Software,"2,86,08,03,295","1,12,304",3.83%,0.63,0.27,2.18,11.96,0.06
22,ITC,Cigarettes,"3,76,86,10,050","82,061",2.80%,0.68,0.31,2.6,-0.98,0.07
