Annexure II- S&P CNX Nifty Index : May 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for May 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2009
1,ABB,ABB Ltd.,ELECTRICAL EQUIPMENT,"42,38,16,750","13,794",0.49%,0.86,0.5,4.96,33.67,0.14
2,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,87,68,46,780","14,686",0.53%,0.7,0.41,4.23,19.58,0.19
3,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,04,55,76,848","13,949",0.50%,0.86,0.44,4.4,13.09,0.21
4,AXISBANK,Axis Bank Ltd.,BANKS,"3,59,44,16,070","27,999",1.00%,1.33,0.66,5.48,39.77,0.14
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,98,31,12,560","1,55,832",5.59%,1.02,0.66,7.18,9.05,0.17
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,89,52,00,000","1,06,625",3.82%,1.02,0.66,5.22,31.55,0.11
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"3,61,54,21,240","16,801",0.60%,0.53,0.19,4.73,19.88,0.17
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"18,96,66,78,160","43,974",1.58%,0.98,0.45,4.12,24.89,0.14
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,55,45,82,714","17,318",0.62%,0.5,0.32,3.82,-7.46,0.14
10,DLF,DLF Ltd.,CONSTRUCTION,"3,39,44,28,226","68,992",2.47%,1.55,0.56,8.46,76.55,0.16
11,GAIL,GAIL (India) Ltd.,GAS,"12,68,47,74,000","38,054",1.36%,0.78,0.48,3.76,16.98,0.18
12,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"91,67,45,340","19,281",0.69%,0.76,0.44,4.8,18.06,0.19
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,33,96,82,624","11,180",0.40%,1.01,0.41,4.67,28.53,0.24
14,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"2,84,50,34,520","62,010",2.22%,1.26,0.66,6.65,26.21,0.19
15,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,25,45,45,300","61,457",2.20%,1,0.64,4.31,31.28,0.18
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"39,93,75,000","26,701",0.96%,0.48,0.26,5.81,13.06,0.21
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,70,05,66,605","14,395",0.52%,1.12,0.53,4.81,57.49,0.17
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,17,98,76,077","50,312",1.80%,0.41,0.28,2.21,-1.68,0.09
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,12,81,43,390","82,365",2.95%,1.6,0.74,7.02,54.46,0.19
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,00,09,52,090","26,087",0.94%,1.11,0.56,5.86,44.96,0.16
21,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,86,41,50,215","91,945",3.30%,0.7,0.44,4.84,6.35,0.14
22,ITC,I T C Ltd.,CIGARETTES,"3,77,43,99,560","69,317",2.48%,0.52,0.38,3.67,-2.78,0.19
23,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,17,13,94,824","82,126",2.94%,1.18,0.72,6.72,59.46,0.22
24,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,78,82,12,650","18,650",0.67%,1.06,0.48,6.39,37.08,0.17
25,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,44,45,50,300","29,674",1.06%,0.69,0.38,3.87,26.18,0.11
26,NATIONALUM,National Aluminium Co. Ltd.,ALUMINIUM,"6,44,30,96,280","22,815",0.82%,0.92,0.32,4.91,67.98,0.26
27,NTPC,NTPC Ltd.,POWER,"82,45,46,44,000","1,77,607",6.37%,0.74,0.56,3.06,13.37,0.12
28,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,38,87,25,300","2,50,088",8.96%,0.88,0.59,5.02,35.21,0.17
29,PNB,Punjab National Bank,BANKS,"3,15,30,25,000","21,150",0.76%,0.92,0.53,3.84,40.36,0.11
30,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,08,84,12,300","48,381",1.73%,0.83,0.52,4.32,24.14,0.15
31,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,10,18,48,765","11,724",0.42%,0.74,0.21,6.83,68.01,0.16
32,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,32,01,34,405","63,087",2.26%,1.49,0.64,7,42.3,0.15
33,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,45,63,28,000","23,150",0.83%,1.57,0.64,8.61,79.69,0.1
34,RELIANCE,Reliance Industries Ltd.,REFINERIES,"15,73,80,02,880","3,57,552",12.82%,1.23,0.77,5.55,25.78,0.15
35,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,26,42,37,670","28,801",1.03%,1.71,0.74,6.32,82.97,0.12
36,RPL,Reliance Petroleum Ltd.,REFINERIES,"45,00,00,00,000","64,980",2.33%,1.02,0.71,4.64,29.27,0.13
37,RPOWER,Reliance Power Ltd.,POWER,"23,96,80,00,000","43,358",1.55%,1.09,0.61,5.71,46.72,0.17
38,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,30,40,05,450","71,332",2.56%,1.27,0.59,6.07,58.15,0.18
39,SBIN,State Bank of India,BANKS,"6,34,88,02,220","1,18,650",4.25%,1.11,0.66,5.85,46.16,0.16
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"67,43,20,400","16,514",0.59%,1.01,0.45,5.04,58.97,0.18
41,STER,Sterlite Industries (India) Ltd.,METALS,"1,41,69,71,700","44,188",1.58%,1.36,0.58,6.64,52.1,0.15
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,03,55,81,955","25,139",0.90%,0.41,0.15,6.64,-5.06,0.25
