S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2755.1 points on November 28, 2008 representing a decrease of 130.50 pts points (-4.52%), as compared to  2885.6 points on October 31, 2008 . During the month of November 2008, S&P CNX Nifty touched a high of 3240.55 points on November 05, 2008 before closing at 2755.1 points on November 28, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.1785998 crores on October 31, 2008, to Rs.1706209 crores on November 28, 2008 i.e. a decrease of Rs.79789crores (-4.47%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for November 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 08
1,ABB,Electrical Equipment,"42,38,16,750","9,285",0.54%,0.89,0.58,4.33,-19.47,0.16
2,ACC,Cement & Cement Products,"1,87,65,35,900","7,611",0.45%,0.63,0.35,4.19,-17.85,0.14
3,AMBUJACEM,Cement & Cement Products,"3,04,51,93,598","7,948",0.47%,0.72,0.38,5.32,-14.36,0.26
4,BHARTIARTL,Telecommunication - Services,"18,98,13,84,190","1,27,375",7.47%,0.89,0.53,4.86,2.65,0.15
5,BHEL,Electrical Equipment,"4,89,52,00,000","66,555",3.90%,1.03,0.58,4.45,5.26,0.11
6,BPCL,Refineries,"3,61,54,21,240","12,842",0.75%,0.7,0.26,3.71,23.72,0.14
7,CAIRN,Oil Exploration,"18,94,42,97,380","26,835",1.57%,1.03,0.41,5.15,9.81,0.19
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","15,557",0.91%,0.56,0.36,3.29,12.95,0.16
9,DLF,Construction,"3,40,96,65,360","33,824",1.98%,1.43,0.64,7.31,-9.82,0.18
10,RPOWER,Power,"23,96,80,00,000","26,485",1.55%,1.05,0.22,5.39,7.91,0.15
11,GAIL,Gas,"12,68,47,74,000","24,888",1.46%,0.91,0.52,5.03,-8.6,0.16
12,GRASIM,Cement & Cement Products,"91,67,42,280","8,124",0.48%,0.74,0.5,3.87,-13.61,0.21
13,HCLTECH,Computers - Software,"1,33,85,27,344","9,202",0.54%,0.99,0.45,4.52,-20.47,0.23
14,HDFC,Finance - Housing,"2,84,44,01,060","41,797",2.45%,1.17,0.59,5.12,-16.73,0.12
15,HDFCBANK,Banks,"4,25,12,58,760","39,228",2.30%,0.99,0.58,4.4,-9.76,0.12
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","16,048",0.94%,0.4,0.18,2.76,7.81,0.11
17,HINDALCO,Aluminium,"1,70,05,66,605","9,005",0.53%,1.25,0.58,5.25,-12.48,0.17
18,HINDUNILVR,Diversified,"2,17,91,57,002","51,515",3.02%,0.55,0.32,2.61,6.61,0.1
19,ICICIBANK,Banks,"11,12,79,97,290","39,132",2.29%,1.46,0.71,5.87,-11.81,0.12
20,IDEA,Telecommunication - Services,"31,00,09,52,090","14,524",0.85%,0.98,0.44,6.29,10.11,0.22
21,INFOSYSTCH,Computers - Software,"2,86,24,99,275","71,210",4.17%,0.71,0.41,3.64,-10.45,0.12
22,ITC,Cigarettes,"3,77,07,89,240","65,461",3.84%,0.6,0.38,2.53,11.89,0.12
23,LT,Engineering,"1,17,05,94,892","42,566",2.49%,1.05,0.64,4.74,-9.89,0.12
