Annexure II-  CNX Nifty Index : October  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for October 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 2013
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,87,74,52,660.00","10,589.98",0.52,0.81,0.55,1.62,2.06,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,08,98,23,072.00","14,390.36",0.7,0.88,0.48,1.83,3.18,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,"95,91,97,790.00","24,430.69",1.19,0.91,0.54,2.11,17.46,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,69,13,72,190.00","37,901.72",1.85,1.59,0.69,2.42,21.32,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"2,89,36,70,200.00","28,583.26",1.39,0.8,0.53,1.4,7.17,0.07
6,BANKBARODA,Bank of Baroda,BANKS,"4,21,25,63,030.00","12,076.47",0.59,1.46,0.61,3.39,30.26,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"19,98,70,00,510.00","43,685.85",2.13,1.15,0.53,1.73,15.2,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,89,52,00,000.00","11,147.59",0.54,1.37,0.52,1.48,2.69,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"7,23,08,42,480.00","9,291.73",0.45,1.21,0.55,1.84,8.54,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"19,10,53,49,420.00","18,702.44",0.91,0.47,0.33,1.5,-0.83,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,60,58,42,714.00","20,967.22",1.02,0.57,0.41,1.12,-4.46,0.06
12,COALINDIA,Coal India Ltd.,MINING,"63,16,36,44,000.00","18,187.97",0.89,0.61,0.4,1.77,-2.21,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,"3,56,16,37,522.00","6,751.99",0.33,1.78,0.61,2.98,18.43,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"85,04,98,675.00","31,116.19",1.52,0.52,0.4,1.37,3.16,0.06
15,GAIL,GAIL (India) Ltd.,GAS,"12,68,47,74,000.00","15,883.11",0.77,0.68,0.43,1.49,7.87,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"91,80,69,210.00","17,895.67",0.87,0.84,0.61,1.39,6.39,0.09
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,39,55,90,938.00","29,104.32",1.42,0.4,0.24,2.4,0.75,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"3,11,41,50,100.00","1,33,137.70",6.49,1.3,0.72,1.22,11.88,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,78,07,03,060.00","1,25,727.86",6.13,1.25,0.76,1.8,14.8,0.08
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"39,93,75,000.00","19,833.77",0.97,0.67,0.44,1.35,3.44,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"2,06,45,83,068.00","14,798.23",0.72,1.28,0.56,2.52,2.82,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,16,25,69,017.00","43,145.81",2.1,0.65,0.35,1.16,-2.81,0.06
