S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 3921.2 points on September 30, 2008 representing a decrease of 438.8 pts points (-10.06%), as compared to 4360 points on August 29, 2008 . During the month of September 2008, S&P CNX Nifty touched a high of 4558 points on September 08, 2008 before closing at 3921.2 points on September 30, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.2639434 crores on August 29, 2008, to Rs.2406508 crores on September 30, 2008 i.e. a decrease of Rs.232926 crores (-8.82%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for September 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 08
1,ABB,Electrical Equipment,"42,38,16,750","16,730",0.70%,0.8,0.48,2.42,-9.87,0.11
2,ACC,Cement & Cement Products,"1,87,65,29,900","11,540",0.48%,0.68,0.32,1.78,9.35,0.08
3,AMBUJACEM,Cement & Cement Products,"3,04,51,59,096","11,975",0.50%,0.54,0.29,2.55,-2.05,0.13
4,BHARTIARTL,Telecommunication - Services,"18,98,10,16,040","1,48,973",6.19%,0.78,0.38,2.71,-6.29,0.07
5,BHEL,Electrical Equipment,"4,89,52,00,000","77,895",3.24%,1.12,0.56,3.18,-6.83,0.07
6,BPCL,Refineries,"3,61,54,21,240","13,025",0.54%,0.77,0.22,3.64,18.99,0.11
7,CAIRN,Oil Exploration,"18,94,42,97,380","40,200",1.67%,0.74,0.23,3.49,-14.61,0.1
8,CIPLA,Pharmaceuticals,"1,55,45,82,714","17,773",0.74%,0.48,0.26,2.15,-4.75,0.09
9,DLF,Construction,"3,40,96,65,360","60,121",2.50%,1.47,0.62,4.1,-28.48,0.09
10,RPOWER,Power,"23,96,80,00,000","36,743",1.53%,1.07,0.14,2.93,-2.57,0.08
11,GAIL,Gas,"8,45,65,16,000","34,553",1.44%,0.89,0.44,2.14,3.36,0.09
12,GRASIM,Cement & Cement Products,"91,67,42,280","15,473",0.64%,0.71,0.46,2.36,-12.91,0.1
