Annexure II-  CNX Nifty Index : August 2014,,,
,,,
Sr. No,Security Symbol,Security Name,Industry
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS
3,ASIANPAINT,Asian Paints Ltd.,PAINTS
4,AXISBANK,Axis Bank Ltd.,BANKS
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS
6,BANKBARODA,Bank of Baroda,BANKS
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS
12,COALINDIA,Coal India Ltd.,MINING
13,DLF,DLF Ltd.,CONSTRUCTION
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS
15,GAIL,GAIL (India) Ltd.,GAS
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING
19,HDFCBANK,HDFC Bank Ltd.,BANKS
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED
23,ICICIBANK,ICICI Bank Ltd.,BANKS
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE
27,ITC,I T C Ltd.,CIGARETTES
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS
30,LT,Larsen & Toubro Ltd.,ENGINEERING
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS
34,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES
35,NMDC,NMDC Ltd.,MINING
36,NTPC,NTPC Ltd.,POWER
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION
38,PNB,Punjab National Bank,BANKS
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER
40,RELIANCE,Reliance Industries Ltd.,REFINERIES
41,SBIN,State Bank of India,BANKS
42,SSLT,Sesa Sterlite Ltd.,MINING
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS
45,TATAPOWER,Tata Power Co. Ltd.,POWER
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS
47,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE
48,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE
,,,
,,,
,,,
* Beta & R2 are calculated for the period 01-Sep-2013 to 31-Aug-2014,,,
,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,
  on the market as a whole.,,,
,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,
   the return on  a security versus that of the market.,,,
,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2014 to 31-Aug-2014,,,
,,,
* Last day of trading was 28-Aug-2014,,,
,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,
,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,
