S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 5165.9 points on April 30, 2008 representing an increase of 431.40 pts points (9.11%), as compared to 4734.5 points on March 31, 2008. During the month of April 2008, S&P CNX Nifty touched a high of 5230.75 points on April 30, 2008 before closing at 5230.75 points on April 30, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2848773 crores on March 31, 2008 to Rs.3108589 crores on April 30, 2008, i.e. an increase of Rs.259816 crores (9.12%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-04-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 24,179 ",0.78%,0.83 ,0.45 ,2.28 ,(3.30),0.09
2,ACC,Cement & Cement Products,"1,876,394,930"," 14,235 ",0.46%,0.76 ,0.31 ,1.88 ,(8.17),0.08
3,AMBUJACEM,Cement & Cement Products,"3,044,750,844"," 17,309 ",0.56%,0.34 ,0.14 ,1.51 ,(6.07),0.10
4,BHARTIARTL,Telecommunication - Services,"18,979,273,960"," 170,481 ",5.48%,0.79 ,0.35 ,3.08 ,8.71 ,0.08
5,BHEL,Electrical Equipment,"4,895,200,000"," 93,114 ",3.00%,1.09 ,0.52 ,3.16 ,(7.72),0.07
6,BPCL,Refineries,"3,615,421,240"," 14,802 ",0.48%,0.71 ,0.20 ,1.94 ,0.21 ,0.09
7,CAIRN,Oil Exploration,"17,791,916,600"," 44,151 ",1.42%,0.95 ,0.40 ,2.66 ,10.73 ,0.09
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 16,556 ",0.53%,0.50 ,0.21 ,1.83 ,(3.18),0.09
9,DLF,Construction,"3,409,665,360"," 120,216 ",3.87%,1.29 ,0.53 ,2.73 ,9.20 ,0.07
10,DRREDDY,Pharmaceuticals,"840,863,730"," 10,477 ",0.34%,0.46 ,0.24 ,1.77 ,5.37 ,0.10
11,GAIL,Gas,"8,456,516,000"," 37,217 ",1.20%,0.95 ,0.40 ,1.67 ,3.44 ,0.09
12,GRASIM,Cement & Cement Products,"916,742,280"," 22,046 ",0.71%,0.78 ,0.49 ,2.03 ,(6.62),0.09
13,HCLTECH,Computers - Software,"1,330,287,536"," 19,186 ",0.62%,0.87 ,0.35 ,3.34 ,13.90 ,0.10
14,HDFC,Finance - Housing,"2,840,380,550"," 79,531 ",2.56%,0.90 ,0.38 ,3.08 ,17.66 ,0.07
15,HDFCBANK,Banks,"3,544,329,200"," 54,021 ",1.74%,0.94 ,0.48 ,3.03 ,14.49 ,0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 17,005 ",0.55%,0.43 ,0.15 ,2.10 ,22.61 ,0.09
17,HINDALCO,Aluminium,"1,227,184,962"," 23,789 ",0.77%,1.23 ,0.50 ,2.52 ,17.41 ,0.09
18,HINDUNILVR,Diversified,"2,177,983,566"," 54,504 ",1.75%,0.57 ,0.24 ,2.38 ,9.38 ,0.09
19,ICICIBANK,Banks,"11,116,113,590"," 97,777 ",3.15%,1.12 ,0.55 ,2.77 ,14.32 ,0.08
20,IDEA,Telecommunication - Services,"26,353,605,390"," 27,816 ",0.89%,0.77 ,0.30 ,2.88 ,2.83 ,0.11
21,INFOSYSTCH,Computers - Software,"2,859,978,790"," 100,277 ",3.23%,0.63 ,0.27 ,2.99 ,21.75 ,0.07
22,ITC,Cigarettes,"3,768,610,050"," 82,872 ",2.67%,0.67 ,0.31 ,1.97 ,6.62 ,0.07
23,LT,Engineering,"584,654,780"," 87,793 ",2.82%,1.04 ,0.50 ,2.39 ,(1.08),0.07
24,M&M,Automobile - 4 wheelers,"2,457,418,130"," 16,470 ",0.53%,0.73 ,0.35 ,2.27 ,(3.85),0.09
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 21,440 ",0.69%,0.64 ,0.31 ,1.57 ,(10.27),0.07
26,NATIONALUM,Aluminium,"6,443,096,280"," 28,936 ",0.93%,0.80 ,0.18 ,2.90 ,(0.60),0.12
27,NTPC,Power,"82,454,644,000"," 162,230 ",5.22%,1.21 ,0.61 ,1.52 ,0.08 ,0.08
28,ONGC,Oil Exploration,"21,388,725,300"," 220,956 ",7.11%,1.08 ,0.62 ,1.24 ,5.35 ,0.09
29,PNB,Banks,"3,153,025,000"," 17,354 ",0.56%,1.00 ,0.48 ,1.74 ,7.87 ,0.08
30,POWERGRID,Power,"42,088,412,300"," 44,424 ",1.43%,1.16 ,0.50 ,1.69 ,7.38 ,0.09
31,RANBAXY,Pharmaceuticals,"1,866,189,350"," 17,906 ",0.58%,0.63 ,0.30 ,3.02 ,9.42 ,0.08
32,RCOM,Telecommunication - Services,"10,320,134,405"," 119,270 ",3.84%,1.18 ,0.62 ,3.04 ,13.36 ,0.08
33,REL,Power,"2,365,302,620"," 33,837 ",1.09%,1.70 ,0.55 ,2.93 ,14.37 ,0.08
34,RELIANCE,Refineries,"14,536,486,010"," 380,056 ",12.23%,1.13 ,0.77 ,1.89 ,15.39 ,0.06
35,RPL,Refineries,"45,000,000,000"," 90,585 ",2.91%,1.36 ,0.49 ,2.14 ,28.87 ,0.07
36,SAIL,Steel & Steel Products,"41,304,005,450"," 76,392 ",2.46%,1.47 ,0.62 ,3.21 ,(0.19),0.08
37,SATYAMCOMP,Computers - Software,"1,341,602,108"," 32,376 ",1.04%,0.64 ,0.24 ,2.98 ,21.77 ,0.08
38,SBIN,Banks,"6,314,703,760"," 112,064 ",3.60%,0.98 ,0.52 ,2.09 ,10.90 ,0.07
39,SIEMENS,Electrical Equipment,"674,320,400"," 19,281 ",0.62%,0.87 ,0.37 ,2.92 ,(7.23),0.09
40,STER,Metals,"1,416,971,700"," 61,128 ",1.97%,1.26 ,0.53 ,2.29 ,20.76 ,0.09
