S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4360 points on August 29, 2008 representing a increase of 27.05 pts points (0.62%), as compared to 4332.95 points on July 31, 2008 . During the month of August 2008, S&P CNX Nifty touched a high of 4649.85 points on August 12, 2008 before closing at 4360 points on August 29, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2617902 crores on July 31, 2008 to Rs.2639434 crores on August 29, 2008, i.e. a increase of Rs.21532 crores (0.82%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for August 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 18,562 ",0.70%,0.79 ,0.45 ,1.87 ,13.57 ,0.08
2,ACC,Cement & Cement Products,"1,876,514,780"," 10,553 ",0.40%,0.73 ,0.35 ,2.57 ,(3.61),0.08
3,AMBUJACEM,Cement & Cement Products,"3,045,159,096"," 12,226 ",0.46%,0.51 ,0.26 ,2.48 ,(1.41),0.11
4,BHARTIARTL,Telecommunication - Services,"18,980,592,040"," 158,962 ",6.02%,0.78 ,0.36 ,2.03 ,4.86 ,0.07
5,BHEL,Electrical Equipment,"4,895,200,000"," 83,603 ",3.17%,1.10 ,0.53 ,2.82 ,1.54 ,0.07
6,BPCL,Refineries,"3,615,421,240"," 10,946 ",0.41%,0.82 ,0.24 ,2.87 ,(7.67),0.09
7,CAIRN,Oil Exploration,"18,944,297,380"," 47,077 ",1.78%,0.74 ,0.23 ,2.17 ,2.77 ,0.07
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 18,659 ",0.71%,0.47 ,0.23 ,1.70 ,9.66 ,0.07
9,DLF,Construction,"3,409,665,360"," 84,065 ",3.18%,1.45 ,0.59 ,3.70 ,(3.60),0.08
10,DRREDDY,Pharmaceuticals,"841,566,765"," 9,748 ",0.37%,0.43 ,0.18 ,2.20 ,1.76 ,0.07
11,GAIL,Gas,"8,456,516,000"," 33,429 ",1.27%,0.95 ,0.45 ,2.15 ,5.24 ,0.09
12,GRASIM,Cement & Cement Products,"916,742,280"," 17,767 ",0.67%,0.71 ,0.46 ,2.52 ,7.24 ,0.08
13,HCLTECH,Computers - Software,"1,332,680,544"," 15,536 ",0.59%,0.82 ,0.31 ,3.50 ,16.37 ,0.11
14,HDFC,Finance - Housing,"2,842,185,990"," 66,607 ",2.52%,1.11 ,0.48 ,3.28 ,2.90 ,0.07
15,HDFCBANK,Banks,"4,249,172,760"," 54,249 ",2.06%,1.10 ,0.55 ,3.33 ,16.26 ,0.06
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 16,548 ",0.63%,0.45 ,0.18 ,1.61 ,3.09 ,0.09
17,HINDALCO,Aluminium,"1,752,329,383"," 21,449 ",0.81%,1.14 ,0.49 ,2.50 ,(4.38),0.08
18,HINDUNILVR,Diversified,"2,178,765,017"," 53,467 ",2.03%,0.52 ,0.24 ,1.80 ,2.40 ,0.07
19,ICICIBANK,Banks,"11,126,034,800"," 74,756 ",2.83%,1.31 ,0.61 ,3.81 ,5.43 ,0.07
20,IDEA,Telecommunication - Services,"26,353,605,390"," 21,715 ",0.82%,0.79 ,0.32 ,1.85 ,(6.42),0.09
21,INFOSYSTCH,Computers - Software,"2,861,715,880"," 100,109 ",3.79%,0.65 ,0.29 ,1.93 ,10.46 ,0.06
22,ITC,Cigarettes,"3,768,996,710"," 71,121 ",2.69%,0.70 ,0.36 ,1.30 ,1.02 ,0.08
23,LT,Engineering,"585,029,668"," 75,871 ",2.87%,1.09 ,0.56 ,2.22 ,(0.45),0.05
24,M&M,Automobile - 4 wheelers,"2,457,418,130"," 14,220 ",0.54%,0.73 ,0.37 ,2.16 ,10.69 ,0.11
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 18,768 ",0.71%,0.71 ,0.31 ,3.36 ,12.85 ,0.07
26,NATIONALUM,Aluminium,"6,443,096,280"," 24,935 ",0.94%,0.78 ,0.18 ,2.76 ,(8.87),0.10
27,NTPC,Power,"82,454,644,000"," 144,213 ",5.46%,1.12 ,0.59 ,2.15 ,2.67 ,0.09
28,ONGC,Oil Exploration,"21,388,725,300"," 218,860 ",8.29%,0.99 ,0.55 ,1.93 ,2.71 ,0.08
29,PNB,Banks,"3,153,025,000"," 15,157 ",0.57%,1.08 ,0.52 ,3.17 ,6.41 ,0.08
30,POWERGRID,Power,"42,088,412,300"," 39,184 ",1.48%,1.14 ,0.53 ,1.99 ,(1.74),0.10
31,RANBAXY,Pharmaceuticals,"1,870,348,940"," 19,407 ",0.74%,0.53 ,0.18 ,1.46 ,4.18 ,0.06
32,RCOM,Telecommunication - Services,"10,320,134,405"," 81,570 ",3.09%,1.19 ,0.56 ,2.48 ,(21.06),0.06
33,RELINFRA,Power,"2,308,702,620"," 22,897 ",0.87%,1.86 ,0.64 ,3.76 ,2.76 ,0.07
34,RELIANCE,Refineries,"14,537,134,490"," 310,542 ",11.77%,1.10 ,0.74 ,1.96 ,(3.23),0.06
35,RPL,Refineries,"45,000,000,000"," 70,740 ",2.68%,1.26 ,0.49 ,1.85 ,(4.58),0.07
36,SAIL,Steel & Steel Products,"41,304,005,450"," 64,476 ",2.44%,1.38 ,0.61 ,2.64 ,10.98 ,0.09
37,SATYAMCOMP,Computers - Software,"1,346,314,234"," 28,252 ",1.07%,0.62 ,0.24 ,1.97 ,10.09 ,0.06
38,SBIN,Banks,"6,348,802,220"," 89,128 ",3.38%,1.07 ,0.58 ,3.51 ,(0.95),0.07
39,SIEMENS,Electrical Equipment,"674,320,400"," 18,478 ",0.70%,0.97 ,0.44 ,1.91 ,0.07 ,0.09
40,STER,Metals,"1,416,971,700"," 44,472 ",1.68%,1.03 ,0.41 ,3.10 ,(1.02),0.07
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 30,494 ",1.16%,0.37 ,0.11 ,1.46 ,4.34 ,0.08
42,SUZLON,Electrical Equipment,"2,996,500,800"," 32,669 ",1.24%,1.08 ,0.40 ,2.47 ,(2.26),0.09
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 11,815 ",0.45%,1.07 ,0.37 ,2.62 ,(8.01),0.11
44,TATAMOTORS,Automobile - 4 wheelers,"3,856,569,790"," 16,984 ",0.64%,0.79 ,0.46 ,2.56 ,9.14 ,0.08
45,TATAPOWER,Power,"2,213,877,340"," 23,263 ",0.88%,1.27 ,0.42 ,1.98 ,(9.23),0.08
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 43,897 ",1.66%,1.04 ,0.49 ,2.43 ,(8.30),0.06
47,TCS,Computers - Software,"978,610,498"," 79,483 ",3.01%,0.75 ,0.37 ,1.92 ,(2.58),0.08
48,UNITECH,Construction,"3,246,750,000"," 25,812 ",0.98%,1.61 ,0.61 ,3.57 ,(2.99),0.09
49,WIPRO,Computers - Software,"2,924,922,008"," 63,237 ",2.40%,0.77 ,0.35 ,2.00 ,4.09 ,0.10
50,ZEEL,Media & Entertainment,"434,007,111"," 9,459 ",0.36%,0.64 ,0.26 ,2.02 ,12.40 ,0.09
,,,,,,,,,,
,,,," 2,639,434 ",100.00%,,,,,0.07
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2007 to 31-August-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-August-2008 to 31-August-2008,,,,,,,
,,,,,,,
* Last day of trading was 29-August-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
