S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 5223.50 points on February 29, 2008 representing a rise of 86.05 points (1.67%), as compared to 5137.45 points on January 31, 2008. During the month of February 2008, S&P CNX Nifty touched a high of 5545.20 points on February 04, 2008 before closing at 5223.50 points on February 29, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2966421 crores on January 31, 2008 to Rs.3016694 crores on February 29, 2008, i.e. an increase of Rs.50273 crores (1.69%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 29-02-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 24,482 ",0.81%,0.83 ,0.45 ,2.80 ,3.16 ,0.14
2,ACC,Cement & Cement Products,"1,876,327,430"," 14,935 ",0.50%,0.84 ,0.35 ,2.56 ,3.63 ,0.10
3,BAJAJAUTO,Automobiles - 2 and 3 wheelers,"1,011,835,100"," 23,090 ",0.77%,0.62 ,0.25 ,3.13 ,(3.27),0.12
4,BHARTIARTL,Telecommunication - Services,"18,978,949,210"," 156,814 ",5.20%,0.87 ,0.44 ,1.98 ,(3.80),0.10
5,BHEL,Electrical Equipment,"4,895,200,000"," 111,946 ",3.71%,1.13 ,0.58 ,4.06 ,11.00 ,0.10
6,BPCL,Refineries,"3,615,421,240"," 16,804 ",0.56%,0.69 ,0.18 ,4.33 ,28.56 ,0.17
7,CIPLA,Pharmaceuticals,"1,554,582,714"," 16,098 ",0.53%,0.59 ,0.24 ,2.37 ,9.43 ,0.11
8,NTPC,Power,"82,454,644,000"," 166,558 ",5.52%,1.14 ,0.53 ,3.22 ,3.03 ,0.11
9,DRREDDY,Pharmaceuticals,"840,678,260"," 9,814 ",0.33%,0.47 ,0.23 ,2.36 ,10.29 ,0.13
10,GAIL,Gas,"8,456,516,000"," 35,805 ",1.19%,0.97 ,0.37 ,3.30 ,3.94 ,0.12
11,GLAXO,Pharmaceuticals,"847,030,170"," 9,412 ",0.31%,0.44 ,0.16 ,2.09 ,35.85 ,0.18
12,GRASIM,Cement & Cement Products,"916,742,100"," 26,415 ",0.88%,0.78 ,0.48 ,2.57 ,(2.38),0.14
13,AMBUJACEM,Cement & Cement Products,"3,044,750,844"," 18,413 ",0.61%,0.40 ,0.15 ,1.99 ,0.17 ,0.16
14,HCLTECH,Computers - Software,"1,329,317,744"," 18,454 ",0.61%,0.81 ,0.34 ,4.30 ,14.90 ,0.16
15,HDFC,Finance - Housing,"2,834,646,110"," 79,267 ",2.63%,0.79 ,0.36 ,3.14 ,(1.51),0.10
16,HDFCBANK,Banks,"3,543,405,200"," 51,619 ",1.71%,0.93 ,0.48 ,2.41 ,(7.19),0.11
17,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 15,209 ",0.50%,0.49 ,0.18 ,2.91 ,9.97 ,0.12
18,HINDALCO,Aluminium,"1,227,184,962"," 24,863 ",0.82%,1.12 ,0.48 ,4.26 ,23.57 ,0.12
19,HINDUNILVR,Diversified,"2,177,729,553"," 49,543 ",1.64%,0.65 ,0.28 ,3.29 ,8.98 ,0.13
20,CAIRN,Oil Exploration,"17,783,994,200"," 40,654 ",1.35%,0.87 ,0.40 ,3.02 ,17.50 ,0.12
21,ICICIBANK,Banks,"11,099,652,440"," 120,820 ",4.01%,1.02 ,0.52 ,2.82 ,(5.10),0.10
22,INFOSYSTCH,Computers - Software,"2,859,031,160"," 88,527 ",2.93%,0.58 ,0.27 ,2.64 ,3.28 ,0.08
23,UNITECH,Construction,"3,246,750,000"," 58,425 ",1.94%,1.45 ,0.42 ,5.98 ,(6.17),0.12
24,ITC,Cigarettes,"3,767,279,690"," 76,382 ",2.53%,0.70 ,0.31 ,2.65 ,3.68 ,0.11
25,RPL,Refineries,"45,000,000,000"," 79,110 ",2.62%,1.27 ,0.44 ,4.44 ,10.71 ,0.11
26,LT,Engineering,"584,342,082"," 102,881 ",3.41%,1.04 ,0.55 ,2.85 ,(3.44),0.09
27,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 25,083 ",0.83%,0.78 ,0.40 ,2.53 ,2.12 ,0.10
