S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4332.95 points on July 31, 2008 representing a increase of 292.40 pts points (7.24%), as compared to 4040.55 points on June 30, 2008 . During the month of July 2008, S&P CNX Nifty touched a high of 4539.45 points on July 24, 2008 before closing at 4332.95 points on July 31, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2434104 crores on June 30, 2008 to Rs.2617902 crores on July 31, 2008, i.e. a increase of Rs.183798 crores (7.55%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-07-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 16,344 ",0.62%,0.82 ,0.48 ,3.84 ,(4.02),0.12
2,ACC,Cement & Cement Products,"1,876,511,140"," 10,948 ",0.42%,0.73 ,0.36 ,3.43 ,11.02 ,0.10
3,AMBUJACEM,Cement & Cement Products,"3,045,095,596"," 12,401 ",0.47%,0.48 ,0.25 ,2.52 ,7.24 ,0.15
4,BHARTIARTL,Telecommunication - Services,"18,980,208,040"," 151,595 ",5.79%,0.79 ,0.37 ,3.17 ,10.74 ,0.09
5,BHEL,Electrical Equipment,"4,895,200,000"," 82,337 ",3.15%,1.09 ,0.53 ,4.50 ,21.93 ,0.08
6,BPCL,Refineries,"3,615,421,240"," 11,855 ",0.45%,0.79 ,0.24 ,4.22 ,46.51 ,0.13
7,CAIRN,Oil Exploration,"18,944,297,380"," 45,807 ",1.75%,0.79 ,0.27 ,2.72 ,(11.98),0.09
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 17,015 ",0.65%,0.48 ,0.23 ,2.35 ,3.72 ,0.08
9,DLF,Construction,"3,409,665,360"," 87,202 ",3.33%,1.40 ,0.59 ,6.09 ,29.04 ,0.09
10,DRREDDY,Pharmaceuticals,"841,020,430"," 9,573 ",0.37%,0.42 ,0.18 ,2.49 ,(15.03),0.09
11,GAIL,Gas,"8,456,516,000"," 31,763 ",1.21%,0.96 ,0.45 ,3.36 ,12.74 ,0.13
12,GRASIM,Cement & Cement Products,"916,742,280"," 16,567 ",0.63%,0.71 ,0.49 ,2.25 ,(2.31),0.11
13,HCLTECH,Computers - Software,"1,332,680,544"," 13,350 ",0.51%,0.82 ,0.32 ,3.42 ,(20.67),0.13
14,HDFC,Finance - Housing,"2,842,102,400"," 64,725 ",2.47%,1.06 ,0.48 ,5.86 ,15.90 ,0.10
15,HDFCBANK,Banks,"4,248,331,760"," 46,653 ",1.78%,1.07 ,0.55 ,5.35 ,9.01 ,0.10
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 16,052 ",0.61%,0.46 ,0.18 ,2.91 ,16.11 ,0.12
17,HINDALCO,Aluminium,"1,227,185,338"," 17,346 ",0.66%,1.17 ,0.50 ,3.34 ,(0.67),0.12
18,HINDUNILVR,Diversified,"2,178,340,996"," 52,204 ",1.99%,0.53 ,0.25 ,2.10 ,15.69 ,0.09
