S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4040.55 points on June 30, 2008 representing a decrease of -829.55 pts points (-17.03%), as compared to 4870.1 points on May 30, 2008. During the month of June 2008, S&P CNX Nifty touched a high of 4908.8 points on June 02, 2008 before closing at 4040.55 points on June 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.2933759 crores on May 30, 2008 to Rs.2434104 crores on June 30, 2008, i.e. a decrease of Rs.499655 crores (-17.03%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-06-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 17,029 ",0.70%,0.83 ,0.48 ,2.39 ,(21.49),0.10
2,ACC,Cement & Cement Products,"1,876,423,430"," 9,861 ",0.41%,0.77 ,0.35 ,2.88 ,(20.54),0.08
3,AMBUJACEM,Cement & Cement Products,"3,045,045,846"," 11,564 ",0.48%,0.44 ,0.19 ,3.98 ,(20.14),0.13
4,BHARTIARTL,Telecommunication - Services,"18,980,208,040"," 136,895 ",5.62%,0.79 ,0.35 ,2.53 ,(17.66),0.09
5,BHEL,Electrical Equipment,"4,895,200,000"," 67,527 ",2.77%,1.07 ,0.50 ,3.13 ,(17.05),0.08
6,BPCL,Refineries,"3,615,421,240"," 8,091 ",0.33%,0.74 ,0.21 ,3.85 ,(37.29),0.12
7,CAIRN,Oil Exploration,"18,944,297,380"," 52,040 ",2.14%,0.90 ,0.31 ,3.56 ,(4.10),0.09
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 16,405 ",0.67%,0.49 ,0.22 ,2.06 ,(0.50),0.10
9,DLF,Construction,"3,409,665,360"," 67,580 ",2.78%,1.31 ,0.55 ,3.71 ,(32.45),0.09
