S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4734.5 points on March 31, 2008 representing a fall of 489 pts points (9.36%), as compared to 5223.50 points on February 29, 2008. During the month of March 2008, S&P CNX Nifty touched a high of 5222.80 points on March 03, 2008 before closing at 4734.5 points on March 31, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3016694 crores on February 29, 2008 to Rs.2848773 crores on March 31, 2008, i.e. an decrease of Rs.167921 crores (5.56%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-03-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 25,004 ",0.88%,0.83 ,0.48 ,3.41 ,2.13 ,0.11
2,ACC,Cement & Cement Products,"1,876,348,930"," 15,501 ",0.54%,0.79 ,0.34 ,2.92 ,3.79 ,0.07
3,AMBUJACEM,Cement & Cement Products,"3,044,750,844"," 18,428 ",0.65%,0.37 ,0.18 ,1.79 ,0.08 ,0.12
4,BHARTIARTL,Telecommunication - Services,"18,979,074,460"," 156,815 ",5.50%,0.78 ,0.37 ,3.31 ,0.00 ,0.09
5,BHEL,Electrical Equipment,"4,895,200,000"," 100,907 ",3.54%,1.10 ,0.58 ,4.11 ,(9.86),0.09
6,BPCL,Refineries,"3,615,421,240"," 14,771 ",0.52%,0.71 ,0.20 ,3.85 ,(12.10),0.11
7,CAIRN,Oil Exploration,"17,791,916,600"," 39,872 ",1.40%,0.95 ,0.41 ,5.58 ,(1.97),0.11
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 17,100 ",0.60%,0.53 ,0.21 ,2.63 ,6.23 ,0.09
9,DLF,Construction,"3,409,665,360"," 110,090 ",3.86%,1.29 ,0.55 ,7.16 ,(17.24),0.09
10,DRREDDY,Pharmaceuticals,"840,863,730"," 9,943 ",0.35%,0.44 ,0.23 ,2.25 ,1.29 ,0.11
