S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4870.1 points on May 30, 2008 representing a decrease of -295.80 pts points (-5.73%), as compared to 5165.9 points on April 30, 2008. During the month of May 2008, S&P CNX Nifty touched a high of 5298.85 points on May 02, 2008 before closing at 4870.1 points on May 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3108589 crores on April 30, 2008 to Rs.2933759 crores on May 30, 2008, i.e. a decrease of Rs.174830 crores (-5.62%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-05-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 21,691 ",0.74%,0.83 ,0.45 ,1.44 ,(10.29),0.09
2,ACC,Cement & Cement Products,"1,876,394,930"," 12,409 ",0.42%,0.77 ,0.32 ,1.69 ,(12.83),0.06
3,AMBUJACEM,Cement & Cement Products,"3,044,972,970"," 14,479 ",0.49%,0.37 ,0.15 ,2.75 ,(16.36),0.09
4,BHARTIARTL,Telecommunication - Services,"18,979,273,960"," 166,249 ",5.67%,0.77 ,0.34 ,2.37 ,(2.48),0.06
5,BHEL,Electrical Equipment,"4,895,200,000"," 81,410 ",2.77%,1.09 ,0.52 ,2.34 ,(12.57),0.06
6,BPCL,Refineries,"3,615,421,240"," 12,903 ",0.44%,0.70 ,0.19 ,2.64 ,(12.82),0.10
7,CAIRN,Oil Exploration,"18,944,297,380"," 54,266 ",1.85%,0.95 ,0.35 ,4.41 ,15.43 ,0.08
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 16,486 ",0.56%,0.49 ,0.21 ,1.68 ,(0.42),0.08
9,DLF,Construction,"3,409,665,360"," 100,048 ",3.41%,1.29 ,0.55 ,1.93 ,(16.78),0.07
10,DRREDDY,Pharmaceuticals,"840,918,060"," 12,011 ",0.41%,0.46 ,0.21 ,2.92 ,14.63 ,0.08
11,GAIL,Gas,"8,456,516,000"," 33,860 ",1.15%,0.96 ,0.41 ,1.79 ,(9.02),0.08
12,GRASIM,Cement & Cement Products,"916,742,280"," 20,368 ",0.69%,0.77 ,0.49 ,1.44 ,(7.61),0.06
13,HCLTECH,Computers - Software,"1,330,682,840"," 20,932 ",0.71%,0.85 ,0.35 ,2.01 ,9.07 ,0.10
14,HDFC,Finance - Housing,"2,841,509,430"," 73,108 ",2.49%,0.91 ,0.40 ,2.52 ,(8.11),0.07
15,HDFCBANK,Banks,"3,545,084,200"," 48,522 ",1.65%,0.94 ,0.49 ,1.96 ,(10.20),0.07
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 14,900 ",0.51%,0.42 ,0.15 ,1.59 ,(12.38),0.08
17,HINDALCO,Aluminium,"1,227,185,338"," 23,599 ",0.80%,1.25 ,0.50 ,3.28 ,(0.80),0.08
