S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2755.1 points on November 28, 2008 representing a decrease of 130.50 pts points (-4.52%), as compared to  2885.6 points on October 31, 2008 . During the month of November 2008, S&P CNX Nifty touched a high of 3240.55 points on November 05, 2008 before closing at 2755.1 points on November 28, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.1785998 crores on October 31, 2008, to Rs.1706209 crores on November 28, 2008 i.e. a decrease of Rs.79789crores (-4.47%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for November 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 9,285 ",0.54%,0.89 ,0.58 ,4.33 ,(19.47),0.16
2,ACC,Cement & Cement Products,"1,876,535,900"," 7,611 ",0.45%,0.63 ,0.35 ,4.19 ,(17.85),0.14
3,AMBUJACEM,Cement & Cement Products,"3,045,193,598"," 7,948 ",0.47%,0.72 ,0.38 ,5.32 ,(14.36),0.26
4,BHARTIARTL,Telecommunication - Services,"18,981,384,190"," 127,375 ",7.47%,0.89 ,0.53 ,4.86 ,2.65 ,0.15
5,BHEL,Electrical Equipment,"4,895,200,000"," 66,555 ",3.90%,1.03 ,0.58 ,4.45 ,5.26 ,0.11
6,BPCL,Refineries,"3,615,421,240"," 12,842 ",0.75%,0.70 ,0.26 ,3.71 ,23.72 ,0.14
7,CAIRN,Oil Exploration,"18,944,297,380"," 26,835 ",1.57%,1.03 ,0.41 ,5.15 ,9.81 ,0.19
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 15,557 ",0.91%,0.56 ,0.36 ,3.29 ,12.95 ,0.16
9,DLF,Construction,"3,409,665,360"," 33,824 ",1.98%,1.43 ,0.64 ,7.31 ,(9.82),0.18
10,RPOWER,Power,"23,968,000,000"," 26,485 ",1.55%,1.05 ,0.22 ,5.39 ,7.91 ,0.15
11,GAIL,Gas,"12,684,774,000"," 24,888 ",1.46%,0.91 ,0.52 ,5.03 ,(8.60),0.16
12,GRASIM,Cement & Cement Products,"916,742,280"," 8,124 ",0.48%,0.74 ,0.50 ,3.87 ,(13.61),0.21
13,HCLTECH,Computers - Software,"1,338,527,344"," 9,202 ",0.54%,0.99 ,0.45 ,4.52 ,(20.47),0.23
14,HDFC,Finance - Housing,"2,844,401,060"," 41,797 ",2.45%,1.17 ,0.59 ,5.12 ,(16.73),0.12
15,HDFCBANK,Banks,"4,251,258,760"," 39,228 ",2.30%,0.99 ,0.58 ,4.40 ,(9.76),0.12
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 16,048 ",0.94%,0.40 ,0.18 ,2.76 ,7.81 ,0.11
17,HINDALCO,Aluminium,"1,700,566,605"," 9,005 ",0.53%,1.25 ,0.58 ,5.25 ,(12.48),0.17
18,HINDUNILVR,Diversified,"2,179,157,002"," 51,515 ",3.02%,0.55 ,0.32 ,2.61 ,6.61 ,0.10
19,ICICIBANK,Banks,"11,127,997,290"," 39,132 ",2.29%,1.46 ,0.71 ,5.87 ,(11.81),0.12
20,IDEA,Telecommunication - Services,"31,000,952,090"," 14,524 ",0.85%,0.98 ,0.44 ,6.29 ,10.11 ,0.22
21,INFOSYSTCH,Computers - Software,"2,862,499,275"," 71,210 ",4.17%,0.71 ,0.41 ,3.64 ,(10.45),0.12
22,ITC,Cigarettes,"3,770,789,240"," 65,461 ",3.84%,0.60 ,0.38 ,2.53 ,11.89 ,0.12
23,LT,Engineering,"1,170,594,892"," 42,566 ",2.49%,1.05 ,0.64 ,4.74 ,(9.89),0.12
24,M&M,Automobile - 4 wheelers,"2,585,693,650"," 7,261 ",0.43%,0.90 ,0.44 ,4.24 ,(25.02),0.20
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 15,415 ",0.90%,0.67 ,0.37 ,3.70 ,(5.26),0.13
26,NATIONALUM,Aluminium,"6,443,096,280"," 11,182 ",0.66%,0.93 ,0.28 ,6.91 ,8.95 ,0.25
27,NTPC,Power,"82,454,644,000"," 131,474 ",7.71%,1.01 ,0.67 ,4.77 ,13.00 ,0.15
28,ONGC,Oil Exploration,"21,388,725,300"," 148,395 ",8.70%,0.92 ,0.59 ,4.39 ,3.69 ,0.18
29,PNB,Banks,"3,153,025,000"," 14,044 ",0.82%,0.93 ,0.52 ,4.00 ,5.87 ,0.13
30,POWERGRID,Power,"42,088,412,300"," 31,166 ",1.83%,1.03 ,0.61 ,3.82 ,6.01 ,0.20
31,RANBAXY,Pharmaceuticals,"2,101,848,765"," 8,752 ",0.51%,0.64 ,0.20 ,4.79 ,23.38 ,0.16
32,RCOM,Telecommunication - Services,"10,320,134,405"," 40,352 ",2.36%,1.36 ,0.61 ,6.02 ,(11.12),0.16
33,RELINFRA,Power,"2,308,702,620"," 11,635 ",0.68%,1.75 ,0.72 ,7.71 ,10.15 ,0.14
34,RELIANCE,Refineries,"15,737,875,560"," 178,538 ",10.46%,1.15 ,0.76 ,5.59 ,(17.52),0.12
35,RPL,Refineries,"45,000,000,000"," 32,963 ",1.93%,1.16 ,0.67 ,4.42 ,(15.17),0.15
36,SAIL,Steel & Steel Products,"41,304,005,450"," 27,529 ",1.61%,1.17 ,0.55 ,6.81 ,(21.22),0.20
37,SATYAMCOMP,Computers - Software,"1,347,608,692"," 16,367 ",0.96%,0.74 ,0.32 ,4.01 ,(20.27),0.14
38,SBIN,Banks,"6,348,802,220"," 69,110 ",4.05%,1.01 ,0.61 ,5.22 ,(1.91),0.12
39,SIEMENS,Electrical Equipment,"674,320,400"," 7,561 ",0.44%,0.90 ,0.42 ,6.49 ,(15.30),0.19
40,STER,Metals,"1,416,971,700"," 16,791 ",0.98%,1.25 ,0.55 ,7.29 ,(16.52),0.17
