S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2885.6 points on October 31, 2008 representing a decrease of 1035.60 pts points (-26.41%), as compared to 3921.2 points on September 30, 2008 . During the month of October 2008, S&P CNX Nifty touched a high of 4000.50 points on October 01, 2008 before closing at 2885.6 points on October 31, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.2406508 crores on September 30, 2008, to Rs.1785998 crores on October 31, 2008 i.e. a decrease of Rs.620510 crores (-26%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for October 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 08
,,,,(Rs. Crores),%,,,%,,%
1,ABB,Electrical Equipment,"423,816,750"," 11,530 ",0.65%,0.89 ,0.56 ,6.22 ,(31.08),0.23
2,ACC,Cement & Cement Products,"1,876,535,900"," 9,265 ",0.52%,0.62 ,0.34 ,4.42 ,(19.71),0.19
3,AMBUJACEM,Cement & Cement Products,"3,045,159,096"," 9,280 ",0.52%,0.63 ,0.34 ,6.36 ,(22.50),0.25
4,BHARTIARTL,Telecommunication - Services,"18,981,384,190"," 124,091 ",6.95%,0.83 ,0.46 ,6.09 ,(16.70),0.15
5,BHEL,Electrical Equipment,"4,895,200,000"," 63,231 ",3.54%,1.04 ,0.56 ,6.16 ,(18.82),0.14
6,BPCL,Refineries,"3,615,421,240"," 10,380 ",0.58%,0.69 ,0.22 ,4.53 ,(20.31),0.18
7,CAIRN,Oil Exploration,"18,944,297,380"," 24,438 ",1.37%,1.02 ,0.38 ,9.59 ,(39.21),0.22
8,CIPLA,Pharmaceuticals,"1,554,582,714"," 13,774 ",0.77%,0.55 ,0.36 ,4.27 ,(22.50),0.18
9,DLF,Construction,"3,409,665,360"," 37,506 ",2.10%,1.44 ,0.66 ,8.33 ,(37.62),0.17
10,RPOWER,Power,"23,968,000,000"," 24,543 ",1.37%,1.01 ,0.18 ,5.23 ,(33.20),0.16
11,GAIL,Gas,"12,684,774,000"," 27,228 ",1.52%,0.89 ,0.49 ,5.47 ,(21.20),0.22
12,GRASIM,Cement & Cement Products,"916,742,280"," 9,404 ",0.53%,0.72 ,0.46 ,5.05 ,(39.22),0.25
13,HCLTECH,Computers - Software,"1,338,527,344"," 11,572 ",0.65%,1.00 ,0.45 ,7.09 ,(11.08),0.21
14,HDFC,Finance - Housing,"2,844,401,060"," 50,195 ",2.81%,1.16 ,0.56 ,6.91 ,(17.69),0.14
15,HDFCBANK,Banks,"4,251,104,760"," 43,472 ",2.43%,1.04 ,0.56 ,5.34 ,(16.84),0.15
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 14,885 ",0.83%,0.43 ,0.19 ,3.41 ,(14.55),0.11
17,HINDALCO,Aluminium,"1,700,566,605"," 10,288 ",0.58%,1.25 ,0.53 ,9.66 ,(38.42),0.17
18,HINDUNILVR,Diversified,"2,179,157,002"," 48,323 ",2.71%,0.56 ,0.32 ,4.50 ,(12.09),0.13
19,ICICIBANK,Banks,"11,127,823,930"," 44,372 ",2.48%,1.48 ,0.69 ,9.47 ,(25.54),0.15
20,IDEA,Telecommunication - Services,"31,000,952,090"," 13,191 ",0.74%,0.90 ,0.38 ,7.82 ,(43.38),0.22
21,INFOSYSTCH,Computers - Software,"2,862,499,275"," 79,517 ",4.45%,0.73 ,0.40 ,4.59 ,(0.65),0.13
22,ITC,Cigarettes,"3,770,505,400"," 58,499 ",3.28%,0.64 ,0.37 ,3.40 ,(17.50),0.15
